"12f2 -- 4. Talouksien koko ja elämänvaihe, 2010-2022"

"Tiedot","Vuosi","00100  Helsinki keskusta - Etu-Töölö (Helsinki)","00120  Punavuori - Bulevardi (Helsinki)","00130  Kaartinkaupunki (Helsinki)","00140  Kaivopuisto - Ullanlinna (Helsinki)","00150  Punavuori - Eira - Hernesaari (Helsinki)","00160  Katajanokka (Helsinki)","00170  Kruununhaka (Helsinki)","00180  Kamppi - Ruoholahti (Helsinki)","00190  Suomenlinna (Helsinki)","00200  Pohjois-Lauttasaari (Helsinki)","00210  Vattuniemi (Helsinki)","00220  Jätkäsaari (Helsinki)","00230  Helsinki postikeskus (Helsinki)","00240  Länsi-Pasila (Helsinki)","00250  Taka-Töölö (Helsinki)","00260  Keski-Töölö (Helsinki)","00270  Pohjois-Meilahti (Helsinki)","00280  Ruskeasuo (Helsinki)","00290  Meilahden sairaala-alue (Helsinki)","00300  Pikku Huopalahti (Helsinki)","00310  Kivihaka (Helsinki)","00320  Etelä-Haaga (Helsinki)","00330  Munkkiniemi (Helsinki)","00340  Kuusisaari - Lehtisaari (Helsinki)","00350  Munkkivuori - Niemenmäki (Helsinki)","00360  Pajamäki (Helsinki)","00370  Reimarla (Helsinki)","00380  Pitäjänmäen yritysalue (Helsinki)","00390  Konala (Helsinki)","00400  Pohjois-Haaga (Helsinki)","00410  Malminkartano (Helsinki)","00420  Kannelmäki (Helsinki)","00430  Maununneva - Kuninkaantammi (Helsinki)","00440  Lassila (Helsinki)","00500  Sörnäinen - Harju (Helsinki)","00510  Alppila - Vallila (Helsinki)","00520  Itä- ja Keski-Pasila (Helsinki)","00530  Kallio (Helsinki)","00540  Kalasatama - Sompasaari (Helsinki)","00550  Vallila - Hermanni (Helsinki)","00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)","00570  Kulosaari (Helsinki)","00580  Kalasatama - Kyläsaari (Helsinki)","00590  Kruunuvuorenranta (Helsinki)","00600  Koskela (Helsinki)","00610  Käpylä (Helsinki)","00620  Metsälä - Etelä-Oulunkylä (Helsinki)","00630  Maunula (Helsinki)","00640  Oulunkylä - Patola (Helsinki)","00650  Veräjämäki (Helsinki)","00660  Länsi-Pakila (Helsinki)","00670  Paloheinä (Helsinki)","00680  Itä-Pakila (Helsinki)","00690  Torpparinmäki (Helsinki)","00700  Malmi (Helsinki)","00710  Pihlajamäki - Viikinmäki (Helsinki)","00720  Pukinmäki (Helsinki)","00730  Tapanila (Helsinki)","00740  Siltamäki (Helsinki)","00750  Tapulikaupunki (Helsinki)","00760  Puistola - Heikinlaakso (Helsinki)","00770  Jakomäki - Alppikylä (Helsinki)","00780  Tapaninvainio (Helsinki)","00790  Viikki (Helsinki)","00800  Länsi-Herttoniemi (Helsinki)","00810  Herttoniemenranta (Helsinki)","00820  Roihuvuori (Helsinki)","00830  Tammisalo (Helsinki)","00840  Yliskylä (Helsinki)","00850  Jollas (Helsinki)","00860  Santahamina (Helsinki)","00870  Gunillanmäki - Hevossalmi (Helsinki)","00880  Keski-Herttoniemi - Roihupelto (Helsinki)","00890  Östersundom (Helsinki)","00900  Puotinharju (Helsinki)","00910  Puotila (Helsinki)","00920  Myllypuro (Helsinki)","00930  Itäkeskus - Marjaniemi (Helsinki)","00940  Kontula - Vesala - Kivikko (Helsinki)","00950  Vartioharju (Helsinki)","00960  Pohjois-Vuosaari (Helsinki)","00970  Mellunmäki (Helsinki)","00980  Etelä-Vuosaari (Helsinki)","00990  Aurinkolahti (Helsinki)"
"Eläkeläisten taloudet (TE)","2010",2095,741,132,949,908,622,834,1141,52,1926,881,0,0,574,1288,828,837,397,13,559,113,1134,1655,203,1145,290,725,264,500,1429,458,1699,358,767,991,826,813,2166,0,988,692,592,128,34,676,947,379,1382,1114,359,858,481,397,176,1234,1683,1148,844,997,765,686,844,776,285,1068,778,930,332,1244,194,2,669,0,113,682,901,1595,802,3291,545,867,1352,2385,630
"Eläkeläisten taloudet (TE)","2011",2181,760,137,996,930,659,866,1199,53,1972,936,0,0,630,1344,846,857,404,16,607,115,1153,1666,206,1168,301,781,305,567,1445,520,1783,393,783,1009,836,761,2239,0,992,762,586,164,36,673,972,390,1376,1128,373,886,522,409,198,1319,1688,1193,916,1060,782,712,864,809,460,1071,842,929,345,1347,212,2,685,0,122,679,856,1608,840,3362,558,895,1427,2536,689
"Eläkeläisten taloudet (TE)","2012",2279,800,153,1009,979,708,879,1249,56,1998,1032,28,0,700,1362,866,874,396,18,637,122,1155,1664,223,1187,283,809,345,606,1470,561,1831,427,781,1009,836,784,2302,6,988,851,587,183,37,679,1010,390,1351,1177,390,901,557,418,217,1472,1742,1230,955,1094,819,740,891,852,513,1088,923,941,341,1397,243,3,713,0,131,693,883,1665,885,3463,585,966,1488,2652,815
"Eläkeläisten taloudet (TE)","2013",2309,826,172,1040,1011,721,900,1299,62,2018,1127,62,0,756,1382,888,884,397,19,676,121,1180,1657,233,1195,274,830,386,619,1488,601,1891,449,783,1007,892,804,2322,71,1007,945,601,213,38,688,1029,395,1404,1205,419,905,593,419,245,1573,1783,1246,1004,1157,880,762,911,885,573,1090,972,980,349,1461,265,2,722,36,135,701,894,1700,926,3528,607,991,1559,2732,892
"Eläkeläisten taloudet (TE)","2014",2343,865,176,1064,1029,761,911,1367,65,2042,1181,107,0,784,1349,921,888,399,17,714,119,1168,1685,251,1198,275,862,441,665,1492,655,1978,484,795,1004,897,820,2375,89,1013,1021,580,227,39,677,1069,392,1421,1238,424,940,619,424,263,1636,1832,1278,1054,1217,925,786,869,931,611,1072,1045,987,348,1488,275,3,704,53,137,705,892,1769,953,3618,617,1022,1578,2793,974
"Eläkeläisten taloudet (TE)","2015",2330,867,183,1067,1053,773,937,1415,61,2062,1232,139,0,784,1352,938,901,403,21,738,128,1179,1684,249,1210,272,859,453,695,1514,702,2027,509,836,1015,877,839,2410,176,1000,1108,579,237,41,681,1068,414,1440,1235,446,945,651,412,272,1696,1847,1327,1113,1239,962,812,886,967,664,1044,1102,977,349,1516,278,3,713,105,136,700,890,1815,970,3661,657,1048,1603,2871,1049
"Eläkeläisten taloudet (TE)","2016",2336,872,189,1095,1080,786,948,1503,61,2041,1268,166,0,804,1344,944,883,397,21,754,126,1210,1718,245,1215,259,854,473,715,1508,747,2049,514,849,1000,907,850,2408,201,990,1169,568,250,79,679,1078,420,1451,1248,485,949,677,421,286,1737,1867,1334,1174,1273,1005,849,895,1012,698,1033,1133,972,347,1537,288,2,749,106,145,718,898,1836,993,3673,693,1092,1628,2960,1119
"Eläkeläisten taloudet (TE)","2017",2345,869,186,1112,1097,792,945,1569,64,2072,1297,277,0,813,1323,949,905,380,20,769,128,1209,1738,255,1221,264,868,502,751,1507,775,2072,559,869,999,936,868,2420,220,978,1221,572,261,91,668,1112,416,1468,1262,517,974,689,420,292,1759,1888,1341,1210,1303,1075,869,909,1053,741,1054,1201,991,342,1535,297,3,792,105,148,714,901,1856,1005,3746,721,1112,1657,3068,1174
"Eläkeläisten taloudet (TE)","2018",2358,881,187,1095,1107,819,958,1596,64,2076,1327,353,0,851,1321,947,970,370,19,790,134,1175,1732,258,1214,265,880,523,795,1500,848,2075,605,871,1011,959,856,2441,255,971,1266,572,272,190,661,1089,425,1483,1252,519,982,712,415,299,1811,1879,1385,1248,1340,1106,892,907,1083,768,1043,1268,983,345,1538,302,5,802,113,156,720,855,1900,1004,3727,733,1129,1678,3197,1230
"Eläkeläisten taloudet (TE)","2019",2390,890,196,1124,1118,844,970,1642,66,2071,1372,399,0,854,1353,976,993,377,19,810,137,1220,1756,260,1247,271,905,547,843,1490,915,2118,703,885,1000,985,871,2443,315,969,1322,572,306,233,626,1088,433,1496,1277,515,1008,728,430,305,1854,1894,1424,1289,1369,1143,902,916,1083,798,1020,1363,995,348,1543,302,5,798,120,161,711,848,1942,1012,3706,747,1134,1729,3313,1294
"Eläkeläisten taloudet (TE)","2020",2400,919,205,1141,1134,857,986,1648,66,2089,1405,485,0,852,1331,973,1003,375,21,811,137,1215,1792,259,1248,279,916,587,865,1493,966,2133,771,881,1004,986,888,2419,359,960,1358,582,367,273,616,1097,425,1514,1288,505,1008,753,432,310,1875,1852,1439,1350,1381,1178,932,922,1108,839,1016,1421,1056,355,1559,307,5,801,129,167,731,843,1952,1028,3774,780,1128,1752,3380,1334
"Eläkeläisten taloudet (TE)","2021",2415,923,222,1146,1166,873,999,1683,66,2123,1446,572,0,868,1335,975,1019,388,22,845,129,1229,1821,253,1286,273,918,606,900,1479,1006,2123,814,867,1022,977,900,2407,418,935,1390,532,453,322,655,1093,447,1505,1267,519,998,783,429,313,1936,1887,1457,1396,1399,1174,931,923,1107,860,1072,1482,1042,345,1613,307,2,822,145,164,710,851,1985,1046,3767,775,1146,1758,3406,1385
"Eläkeläisten taloudet (TE)","2022",2447,938,232,1180,1203,877,990,1691,64,2122,1475,625,0,869,1336,1030,1050,375,24,872,127,1267,1840,257,1280,271,894,644,913,1439,1044,2156,837,849,1022,960,894,2358,444,934,1425,529,505,359,655,1089,533,1490,1235,531,996,792,431,314,1978,1890,1477,1498,1418,1172,963,902,1113,900,1071,1521,1066,333,1608,329,2,812,156,167,700,864,2017,1040,3786,806,1170,1769,3439,1427
