"12f5 -- 7. Työpaikat toimialoittain, 2010-2022"

"Tiedot","Vuosi","00100  Helsinki keskusta - Etu-Töölö (Helsinki)","00120  Punavuori - Bulevardi (Helsinki)","00130  Kaartinkaupunki (Helsinki)","00140  Kaivopuisto - Ullanlinna (Helsinki)","00150  Punavuori - Eira - Hernesaari (Helsinki)","00160  Katajanokka (Helsinki)","00170  Kruununhaka (Helsinki)","00180  Kamppi - Ruoholahti (Helsinki)","00190  Suomenlinna (Helsinki)","00200  Pohjois-Lauttasaari (Helsinki)","00210  Vattuniemi (Helsinki)","00220  Jätkäsaari (Helsinki)","00230  Helsinki postikeskus (Helsinki)","00240  Länsi-Pasila (Helsinki)","00250  Taka-Töölö (Helsinki)","00260  Keski-Töölö (Helsinki)","00270  Pohjois-Meilahti (Helsinki)","00280  Ruskeasuo (Helsinki)","00290  Meilahden sairaala-alue (Helsinki)","00300  Pikku Huopalahti (Helsinki)","00310  Kivihaka (Helsinki)","00320  Etelä-Haaga (Helsinki)","00330  Munkkiniemi (Helsinki)","00340  Kuusisaari - Lehtisaari (Helsinki)","00350  Munkkivuori - Niemenmäki (Helsinki)","00360  Pajamäki (Helsinki)","00370  Reimarla (Helsinki)","00380  Pitäjänmäen yritysalue (Helsinki)","00390  Konala (Helsinki)","00400  Pohjois-Haaga (Helsinki)","00410  Malminkartano (Helsinki)","00420  Kannelmäki (Helsinki)","00430  Maununneva - Kuninkaantammi (Helsinki)","00440  Lassila (Helsinki)","00500  Sörnäinen - Harju (Helsinki)","00510  Alppila - Vallila (Helsinki)","00520  Itä- ja Keski-Pasila (Helsinki)","00530  Kallio (Helsinki)","00540  Kalasatama - Sompasaari (Helsinki)","00550  Vallila - Hermanni (Helsinki)","00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)","00570  Kulosaari (Helsinki)","00580  Kalasatama - Kyläsaari (Helsinki)","00590  Kruunuvuorenranta (Helsinki)","00600  Koskela (Helsinki)","00610  Käpylä (Helsinki)","00620  Metsälä - Etelä-Oulunkylä (Helsinki)","00630  Maunula (Helsinki)","00640  Oulunkylä - Patola (Helsinki)","00650  Veräjämäki (Helsinki)","00660  Länsi-Pakila (Helsinki)","00670  Paloheinä (Helsinki)","00680  Itä-Pakila (Helsinki)","00690  Torpparinmäki (Helsinki)","00700  Malmi (Helsinki)","00710  Pihlajamäki - Viikinmäki (Helsinki)","00720  Pukinmäki (Helsinki)","00730  Tapanila (Helsinki)","00740  Siltamäki (Helsinki)","00750  Tapulikaupunki (Helsinki)","00760  Puistola - Heikinlaakso (Helsinki)","00770  Jakomäki - Alppikylä (Helsinki)","00780  Tapaninvainio (Helsinki)","00790  Viikki (Helsinki)","00800  Länsi-Herttoniemi (Helsinki)","00810  Herttoniemenranta (Helsinki)","00820  Roihuvuori (Helsinki)","00830  Tammisalo (Helsinki)","00840  Yliskylä (Helsinki)","00850  Jollas (Helsinki)","00860  Santahamina (Helsinki)","00870  Gunillanmäki - Hevossalmi (Helsinki)","00880  Keski-Herttoniemi - Roihupelto (Helsinki)","00890  Östersundom (Helsinki)","00900  Puotinharju (Helsinki)","00910  Puotila (Helsinki)","00920  Myllypuro (Helsinki)","00930  Itäkeskus - Marjaniemi (Helsinki)","00940  Kontula - Vesala - Kivikko (Helsinki)","00950  Vartioharju (Helsinki)","00960  Pohjois-Vuosaari (Helsinki)","00970  Mellunmäki (Helsinki)","00980  Etelä-Vuosaari (Helsinki)","00990  Aurinkolahti (Helsinki)"
"Työpaikat yhteensä (TP)","2010",43524,9196,10960,2792,5008,5356,8657,21393,431,2535,4657,998,2776,11913,7870,6747,3011,4011,10490,3388,613,1934,3153,199,3153,70,4792,15964,4782,2399,1583,3039,987,4258,9524,11067,10975,14535,457,3674,4687,1051,6132,42,1618,3535,5732,1561,1903,566,1283,511,1120,244,10016,1348,1650,1216,1322,2260,1364,1983,636,3605,1215,3179,1033,121,759,309,869,337,8524,410,814,878,1939,4686,3376,932,440,863,3661,1092
"Työpaikat yhteensä (TP)","2011",44037,9493,12040,2660,5249,5359,8580,21599,349,2409,4952,798,2731,12246,8274,7348,3162,4226,10828,3019,904,2026,3245,230,3118,73,4887,15832,4993,2551,1624,3044,1028,4288,8934,11807,12049,14720,445,3766,5281,971,6650,23,1429,3170,7112,1506,2012,501,1365,510,1060,263,9913,1362,1570,1165,1258,2303,1353,1867,726,3943,1225,3064,946,132,705,306,116,315,7885,421,936,793,1946,4604,3403,889,383,884,3645,911
"Työpaikat yhteensä (TP)","2012",46945,9854,11413,2354,5250,5279,8261,20150,459,2437,4535,692,2679,12898,8265,7544,2668,4670,11053,3354,555,2011,3101,269,3076,86,4758,16021,5077,2503,1489,3124,891,4921,7847,13290,12572,15393,366,3630,5460,1154,6610,25,1488,3149,6150,1498,2210,512,1401,562,1036,278,10165,1500,1704,1229,1275,2251,1441,1741,711,4294,1320,3104,985,124,750,341,714,345,7818,415,925,763,2057,4550,3602,966,415,917,4139,760
"Työpaikat yhteensä (TP)","2013",45564,9186,10485,2816,5036,4482,8279,20767,452,2401,4495,801,2395,13084,8166,7505,2344,4957,10959,3144,462,1935,2865,246,3065,78,4632,15340,4880,2504,1360,2813,876,5744,8020,13067,12889,15191,387,3350,5213,1120,6479,19,1356,3089,8710,1406,2194,475,1306,543,971,253,9586,1420,1777,1200,1479,2262,1328,1562,675,4433,1234,3061,945,114,767,313,706,325,7379,401,940,710,1808,4381,3329,1021,397,699,4100,759
"Työpaikat yhteensä (TP)","2014",45898,8520,11040,2309,4975,3697,8671,20104,427,2356,4371,746,2178,12799,8013,7333,2244,4539,10702,2934,444,1858,2861,298,2786,95,4469,16137,4553,2361,1322,2965,873,6238,8362,12590,12967,14191,296,2984,5629,1209,7053,24,1348,3097,6747,1489,1917,487,1381,552,1004,262,9354,1309,1876,1246,1121,2201,1277,1703,680,4534,1251,2970,991,118,816,315,723,349,7563,409,1042,705,1699,4532,3330,1077,431,677,5127,827
"Työpaikat yhteensä (TP)","2015",46662,8544,10898,2282,5187,4283,8627,19157,445,2259,4604,849,2335,11821,7721,6964,2054,4972,10191,2797,495,1947,2676,334,2036,77,4157,15171,4776,2031,1387,2763,755,6899,8467,13824,14155,14303,316,2815,5744,964,7039,24,1478,3248,6246,1455,1925,541,1259,542,1107,338,10020,1459,1816,1232,1106,2094,1295,1759,651,4328,1157,2760,992,141,790,306,752,308,7505,391,1024,682,1653,4565,3267,1049,427,663,4790,960
"Työpaikat yhteensä (TP)","2016",48470,8377,11119,2347,5336,4381,8332,21001,480,2338,4929,1000,2468,12437,7527,6713,2042,5410,10542,2580,697,1941,2431,366,1919,83,4511,16360,4962,2095,1464,2911,744,5296,8747,14858,13899,13538,614,2285,5521,1138,7195,45,1341,3747,6355,1451,1965,553,1237,601,901,350,10094,1323,1752,1294,1097,2256,1314,1920,625,4365,1120,2723,1005,149,792,303,776,339,7680,421,1041,711,1667,4310,3275,1080,406,758,5054,994
"Työpaikat yhteensä (TP)","2017",50264,7895,10871,2684,5672,3579,9198,20664,446,2361,4704,1134,2591,14025,7141,7295,1847,5463,10980,2599,563,1927,2316,395,1905,67,4633,16561,5327,2116,1588,2758,741,4741,9514,15746,14262,14262,493,2333,5994,1186,7693,43,1265,4077,6859,1423,2150,551,1101,568,896,335,10120,1210,1634,1242,1175,2335,1408,1946,663,4309,1055,3124,1049,172,805,294,765,342,7582,424,1071,665,1811,4475,3318,1233,460,640,5021,1037
"Työpaikat yhteensä (TP)","2018",51915,7568,12127,2673,5428,3482,9644,22218,445,2266,5148,1277,2670,13815,7189,6807,2078,5282,11694,2712,574,1812,2314,367,1922,70,4519,17565,5508,2071,1575,2635,712,4698,8747,17354,15152,14762,490,2383,6133,1194,8184,52,1335,3644,6737,1400,2003,558,1173,584,926,363,10094,1218,1667,1289,1276,2603,1395,2010,614,4726,901,3076,975,236,844,291,747,339,7735,451,1093,710,1797,3922,3359,1291,436,670,5081,928
"Työpaikat yhteensä (TP)","2019",51616,7233,11567,2532,4097,3622,9765,21489,428,2209,4401,1326,3180,14490,7341,6828,2210,4726,11111,2746,531,1960,2303,384,1620,70,4221,18756,5503,2118,1511,2287,758,4806,9052,16574,15130,14879,502,2110,5901,1287,10783,113,1207,2881,7492,1499,1998,396,1126,599,926,304,9981,1134,1642,1278,1299,2544,1441,2222,661,4920,883,3027,1060,309,897,282,763,348,7427,407,986,637,2380,3674,3570,1259,361,667,5333,955
"Työpaikat yhteensä (TP)","2020",49712,7158,11681,1919,4176,3182,10117,23281,351,2205,4121,1593,3176,14904,7358,6877,2219,4583,12033,2745,429,1977,2176,417,1585,74,4106,18114,5494,2029,1433,2274,730,4463,9466,17160,18020,14781,761,1953,5673,1202,10815,122,1053,2735,6850,1374,2056,364,1082,528,872,336,9792,1168,1646,1141,1206,2621,1399,2185,633,4964,915,2929,1096,151,866,252,763,300,7358,414,1059,640,2206,3279,3407,1192,326,674,4907,917
"Työpaikat yhteensä (TP)","2021",52491,7667,12865,2354,4665,3335,10154,25639,346,2181,4526,1796,3294,15062,7311,6794,2417,4185,12072,3010,667,2049,2253,387,1697,72,4428,18711,5584,2202,1608,2476,850,3073,9914,17023,19112,15508,854,2162,5900,1164,13288,161,971,3143,6935,1288,1999,330,988,589,902,370,9642,1150,1701,1317,1202,2536,1484,2335,631,5126,882,3008,1144,181,934,251,770,289,7619,408,1107,643,2151,3384,3437,1133,359,752,5226,1060
"Työpaikat yhteensä (TP)","2022",55404,8092,13886,2744,4523,3584,10155,26174,384,2212,3886,2094,3522,14395,6663,6659,2545,4049,13154,3044,384,2032,2310,310,1637,72,4721,19296,5911,2154,1598,2486,884,3238,10087,18197,19847,16554,1032,2280,5471,1337,14702,180,937,2917,8000,1401,1882,327,1005,599,864,368,9764,1124,1707,1291,1287,2643,1458,2095,661,5088,845,2858,1156,121,921,282,760,404,6844,502,1093,688,2526,3588,3513,1247,438,914,5501,1115
