"13mt -- Vanhojen osakeasuntojen neliöhinnat ja kauppojen lukumäärät postinumeroalueittain, neljännesvuosittain, 2009Q1-2024Q2*"

"Vuosineljännes","Talotyyppi","Neliöhinta (EUR/m2) 00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Neliöhinta (EUR/m2) 00120  Punavuori - Bulevardi (Helsinki)","Neliöhinta (EUR/m2) 00130  Kaartinkaupunki (Helsinki)","Neliöhinta (EUR/m2) 00140  Kaivopuisto - Ullanlinna (Helsinki)","Neliöhinta (EUR/m2) 00150  Punavuori - Eira - Hernesaari (Helsinki)","Neliöhinta (EUR/m2) 00160  Katajanokka (Helsinki)","Neliöhinta (EUR/m2) 00170  Kruununhaka (Helsinki)","Neliöhinta (EUR/m2) 00180  Kamppi - Ruoholahti (Helsinki)","Neliöhinta (EUR/m2) 00190  Suomenlinna (Helsinki)","Neliöhinta (EUR/m2) 00200  Pohjois-Lauttasaari (Helsinki)","Neliöhinta (EUR/m2) 00210  Vattuniemi (Helsinki)","Neliöhinta (EUR/m2) 00220  Jätkäsaari (Helsinki)","Neliöhinta (EUR/m2) 00240  Länsi-Pasila (Helsinki)","Neliöhinta (EUR/m2) 00250  Taka-Töölö (Helsinki)","Neliöhinta (EUR/m2) 00260  Keski-Töölö (Helsinki)","Neliöhinta (EUR/m2) 00270  Pohjois-Meilahti (Helsinki)","Neliöhinta (EUR/m2) 00280  Ruskeasuo (Helsinki)","Neliöhinta (EUR/m2) 00290  Meilahden sairaala-alue (Helsinki)","Neliöhinta (EUR/m2) 00300  Pikku Huopalahti (Helsinki)","Neliöhinta (EUR/m2) 00310  Kivihaka (Helsinki)","Neliöhinta (EUR/m2) 00320  Etelä-Haaga (Helsinki)","Neliöhinta (EUR/m2) 00330  Munkkiniemi (Helsinki)","Neliöhinta (EUR/m2) 00340  Kuusisaari - Lehtisaari (Helsinki)","Neliöhinta (EUR/m2) 00350  Munkkivuori - Niemenmäki (Helsinki)","Neliöhinta (EUR/m2) 00360  Pajamäki (Helsinki)","Neliöhinta (EUR/m2) 00370  Reimarla (Helsinki)","Neliöhinta (EUR/m2) 00380  Pitäjänmäen yritysalue (Helsinki)","Neliöhinta (EUR/m2) 00390  Konala (Helsinki)","Neliöhinta (EUR/m2) 00400  Pohjois-Haaga (Helsinki)","Neliöhinta (EUR/m2) 00410  Malminkartano (Helsinki)","Neliöhinta (EUR/m2) 00420  Kannelmäki (Helsinki)","Neliöhinta (EUR/m2) 00430  Maununneva - Kuninkaantammi (Helsinki)","Neliöhinta (EUR/m2) 00440  Lassila (Helsinki)","Neliöhinta (EUR/m2) 00500  Sörnäinen - Harju (Helsinki)","Neliöhinta (EUR/m2) 00510  Alppila - Vallila (Helsinki)","Neliöhinta (EUR/m2) 00520  Itä- ja Keski-Pasila (Helsinki)","Neliöhinta (EUR/m2) 00530  Kallio (Helsinki)","Neliöhinta (EUR/m2) 00540  Kalasatama - Sompasaari (Helsinki)","Neliöhinta (EUR/m2) 00550  Vallila - Hermanni (Helsinki)","Neliöhinta (EUR/m2) 00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)","Neliöhinta (EUR/m2) 00570  Kulosaari (Helsinki)","Neliöhinta (EUR/m2) 00580  Kalasatama - Kyläsaari (Helsinki)","Neliöhinta (EUR/m2) 00590  Kruunuvuorenranta (Helsinki)","Neliöhinta (EUR/m2) 00600  Koskela (Helsinki)","Neliöhinta (EUR/m2) 00610  Käpylä (Helsinki)","Neliöhinta (EUR/m2) 00620  Metsälä - Etelä-Oulunkylä (Helsinki)","Neliöhinta (EUR/m2) 00630  Maunula (Helsinki)","Neliöhinta (EUR/m2) 00640  Oulunkylä - Patola (Helsinki)","Neliöhinta (EUR/m2) 00650  Veräjämäki (Helsinki)","Neliöhinta (EUR/m2) 00660  Länsi-Pakila (Helsinki)","Neliöhinta (EUR/m2) 00670  Paloheinä (Helsinki)","Neliöhinta (EUR/m2) 00680  Itä-Pakila (Helsinki)","Neliöhinta (EUR/m2) 00690  Torpparinmäki (Helsinki)","Neliöhinta (EUR/m2) 00700  Malmi (Helsinki)","Neliöhinta (EUR/m2) 00710  Pihlajamäki - Viikinmäki (Helsinki)","Neliöhinta (EUR/m2) 00720  Pukinmäki (Helsinki)","Neliöhinta (EUR/m2) 00730  Tapanila (Helsinki)","Neliöhinta (EUR/m2) 00740  Siltamäki (Helsinki)","Neliöhinta (EUR/m2) 00750  Tapulikaupunki (Helsinki)","Neliöhinta (EUR/m2) 00760  Puistola - Heikinlaakso (Helsinki)","Neliöhinta (EUR/m2) 00770  Jakomäki - Alppikylä (Helsinki)","Neliöhinta (EUR/m2) 00780  Tapaninvainio (Helsinki)","Neliöhinta (EUR/m2) 00790  Viikki (Helsinki)","Neliöhinta (EUR/m2) 00800  Länsi-Herttoniemi (Helsinki)","Neliöhinta (EUR/m2) 00810  Herttoniemenranta (Helsinki)","Neliöhinta (EUR/m2) 00820  Roihuvuori (Helsinki)","Neliöhinta (EUR/m2) 00830  Tammisalo (Helsinki)","Neliöhinta (EUR/m2) 00840  Yliskylä (Helsinki)","Neliöhinta (EUR/m2) 00850  Jollas (Helsinki)","Neliöhinta (EUR/m2) 00870  Gunillanmäki - Hevossalmi (Helsinki)","Neliöhinta (EUR/m2) 00880  Keski-Herttoniemi - Roihupelto (Helsinki)","Neliöhinta (EUR/m2) 00890  Östersundom (Helsinki)","Neliöhinta (EUR/m2) 00900  Puotinharju (Helsinki)","Neliöhinta (EUR/m2) 00910  Puotila (Helsinki)","Neliöhinta (EUR/m2) 00920  Myllypuro (Helsinki)","Neliöhinta (EUR/m2) 00930  Itäkeskus - Marjaniemi (Helsinki)","Neliöhinta (EUR/m2) 00940  Kontula - Vesala - Kivikko (Helsinki)","Neliöhinta (EUR/m2) 00950  Vartioharju (Helsinki)","Neliöhinta (EUR/m2) 00960  Pohjois-Vuosaari (Helsinki)","Neliöhinta (EUR/m2) 00970  Mellunmäki (Helsinki)","Neliöhinta (EUR/m2) 00980  Etelä-Vuosaari (Helsinki)","Neliöhinta (EUR/m2) 00990  Aurinkolahti (Helsinki)"
"2009Q1","Kerrostalo yksiöt",4751,4561,...,5128,4472,...,4450,4556,.,3796,...,.,...,4119,4468,4361,...,.,.,...,3479,4078,.,3398,2677,...,...,...,...,...,2860,.,...,3549,3528,3358,3704,.,3362,3468,...,...,.,.,3405,.,2688,2952,...,.,.,.,.,2948,2598,2917,...,...,...,.,...,...,.,2876,...,...,...,2793,.,.,.,.,...,2680,...,.,2514,...,...,2808,...,...
"2009Q2","Kerrostalo yksiöt",4608,4815,...,5058,4628,...,4557,4636,.,4047,...,.,.,4386,4789,4478,...,.,...,...,3603,...,.,3454,...,...,3784,...,3298,...,...,.,...,3718,3824,3396,3991,.,3478,3659,...,.,.,...,...,...,2752,3127,...,...,.,...,.,3085,...,3057,...,...,.,...,...,.,...,3264,...,3261,...,...,.,...,.,.,...,2891,...,.,...,.,...,...,...,...
"2009Q3","Kerrostalo yksiöt",4794,5376,...,5284,5111,...,5113,4984,.,4386,...,.,...,4588,4999,5359,...,.,...,...,3831,...,.,3874,...,3059,3856,...,3528,...,3037,.,...,3994,3811,...,4039,.,3667,3965,...,.,.,...,4066,...,...,3160,.,.,.,...,.,...,2534,...,3764,...,.,...,.,...,...,3037,...,2970,.,...,.,.,.,.,...,3005,...,...,...,.,...,...,...,...
"2009Q4","Kerrostalo yksiöt",5038,5301,...,5886,5325,...,5319,5326,.,4155,...,.,...,4919,4830,4696,...,.,...,...,4061,4404,.,3704,...,...,4139,...,3418,...,3139,.,3793,4008,4238,4126,4303,.,4026,...,...,...,.,...,4083,...,3090,3033,.,.,.,.,.,3274,...,...,...,.,.,.,...,.,.,3468,...,3164,.,3143,.,.,.,.,3264,...,...,.,2847,...,...,...,...,...
"2010Q1","Kerrostalo yksiöt",5427,5522,5491,5463,5414,...,5322,5110,.,4536,4722,.,.,5023,4803,4941,.,.,...,...,4008,...,.,3872,...,...,...,...,3785,...,3167,.,...,4154,4217,4085,4259,.,3805,...,...,.,.,...,3838,...,3243,3038,...,.,.,...,.,3135,3349,...,...,...,...,...,.,...,...,...,...,3111,...,3648,.,.,.,.,...,3418,...,...,2906,.,...,...,...,...
"2010Q2","Kerrostalo yksiöt",5151,5640,...,5950,5488,...,5611,5291,.,4513,...,.,.,4848,...,4833,...,.,...,...,3875,...,...,4137,...,...,...,...,3820,...,3124,.,4023,4163,4338,4023,4411,.,4073,3905,...,.,.,...,...,...,...,3097,.,.,.,...,.,3634,2771,...,...,...,...,.,...,...,.,...,...,3212,...,3535,.,.,.,.,...,3257,...,...,3155,.,...,3029,2888,...
"2010Q3","Kerrostalo yksiöt",5634,5423,.,6065,5272,...,5712,5552,.,4623,4540,.,...,5028,5003,4831,4719,.,.,3621,4150,...,.,4153,...,...,.,.,3598,...,3328,.,...,4341,4298,4161,4570,.,4032,...,...,.,.,.,...,...,...,...,.,.,.,.,.,3424,...,3589,...,...,...,...,...,...,...,4001,...,...,.,...,.,...,.,.,...,...,...,.,3095,.,...,...,...,...
"2010Q4","Kerrostalo yksiöt",5437,5573,...,5675,5287,...,5858,5309,.,4824,5148,.,...,4848,5025,4984,...,.,...,...,4126,4717,.,3850,...,...,...,3200,3739,...,3304,.,...,4313,4317,4307,4434,.,4042,...,...,.,.,...,...,...,...,3418,...,...,.,...,.,3697,...,...,...,.,...,...,.,...,.,3529,...,...,.,...,.,.,.,.,...,3371,...,...,3191,.,...,...,...,...
"2011Q1","Kerrostalo yksiöt",5529,5873,...,6204,5545,...,5827,6083,.,4835,...,.,...,4998,5269,5160,...,.,...,...,4201,...,.,4020,...,...,...,...,3931,...,3668,.,...,4462,4520,4633,4573,.,4043,...,...,...,.,...,...,...,...,3143,.,.,.,...,.,3321,...,...,3659,.,...,.,.,...,...,...,...,3274,...,3494,.,...,.,.,3396,3590,...,...,...,.,...,...,...,...
"2011Q2","Kerrostalo yksiöt",5589,6014,...,6278,5868,...,6002,5377,.,4765,...,.,.,5274,5819,5309,...,.,...,...,4323,...,...,4019,...,...,...,3342,4199,...,3427,.,3967,4442,4610,4219,4612,.,4326,4547,...,.,.,...,4609,.,3138,3574,.,...,.,.,.,3184,2813,3863,...,...,...,.,.,3849,...,...,3900,3374,.,3890,.,.,.,.,3285,3585,.,...,3031,...,...,3085,3304,...
"2011Q3","Kerrostalo yksiöt",5771,...,...,6399,5892,...,5959,5963,.,5024,4860,.,.,5236,5584,5828,...,.,...,...,4458,...,.,3825,...,3702,...,...,3918,...,3358,.,4001,4591,4649,4702,4683,.,4365,4422,...,.,.,...,...,...,...,...,.,...,.,.,.,3580,2919,...,...,...,...,.,.,3726,...,3731,3956,...,.,...,.,...,.,.,...,3971,...,...,3309,...,...,...,...,...
"2011Q4","Kerrostalo yksiöt",5814,5799,...,6297,5842,...,5446,5756,.,4871,...,.,...,5082,5947,4893,...,.,...,...,4229,...,.,4216,...,...,...,...,4014,...,3441,.,3671,4628,4407,...,4693,.,4251,4500,...,.,.,...,4327,.,3464,...,.,...,.,.,.,...,3209,3368,...,...,...,...,...,...,...,4154,4128,...,...,...,.,.,.,.,...,3558,...,.,3127,...,...,3132,...,...
"2012Q1","Kerrostalo yksiöt",5970,5859,...,6536,5941,...,5641,5570,.,4980,4693,.,.,5469,...,5285,...,.,.,...,4438,5383,...,4191,...,...,...,3218,4296,...,3631,.,...,4544,4712,4473,4890,.,4124,4768,4400,.,.,...,...,...,...,3585,.,...,.,.,.,3574,...,...,...,...,...,.,.,.,...,4130,...,3396,...,3357,.,...,.,.,3715,...,...,...,...,.,...,...,...,...
"2012Q2","Kerrostalo yksiöt",6257,6028,...,6550,5781,...,6705,5801,.,5198,4857,.,...,5638,5722,5374,...,.,...,...,4576,...,.,4438,3438,...,...,...,4141,...,3431,.,4367,4708,4720,4645,5049,.,4580,4538,4679,.,.,3853,...,...,...,...,.,.,.,...,.,...,3173,4059,...,...,...,.,.,...,.,4002,4281,...,...,...,.,...,.,.,...,3776,.,...,3390,.,...,3394,...,4737
"2012Q3","Kerrostalo yksiöt",6078,6352,...,6778,6213,...,6181,6075,.,5277,4730,.,...,5746,...,5867,...,.,...,...,4745,5379,.,4576,3308,...,...,...,4240,.,3683,.,...,4752,4784,5003,5067,.,4513,...,...,.,.,...,...,...,...,3908,.,.,.,.,.,3722,3103,...,...,.,...,.,...,...,...,...,...,...,...,...,.,...,.,.,...,3838,...,...,...,.,...,3432,...,4484
"2012Q4","Kerrostalo yksiöt",5901,6141,...,7576,6302,...,6375,5873,.,5198,4994,.,...,5590,5626,5999,...,.,.,4088,4720,5499,.,5063,...,...,...,...,4658,...,3601,.,...,4973,4761,5009,4990,.,4396,4501,...,.,.,.,4433,...,3740,3725,.,...,.,.,.,...,3572,4049,3409,3198,...,.,.,...,.,4195,...,...,.,4088,.,...,.,.,3879,3841,...,...,3201,.,...,...,...,...
"2013Q1","Kerrostalo yksiöt",6042,6342,...,6741,6086,...,6336,5797,.,5175,...,.,...,5859,6331,6093,...,.,.,...,4705,...,.,5058,...,...,...,3462,4407,...,3942,.,...,5017,4780,5052,5115,.,4598,5440,...,.,.,...,...,.,...,3625,.,.,.,.,.,3649,...,4090,...,...,...,.,...,...,...,...,...,...,...,...,.,...,.,.,3776,...,...,...,...,.,...,...,...,.
"2013Q2","Kerrostalo yksiöt",6391,6859,...,6620,6297,...,6809,6283,.,5387,...,.,...,6073,5905,5538,...,.,...,...,4439,5362,.,...,...,...,.,...,4444,...,3825,.,4179,5078,4887,...,5381,.,4834,...,...,...,.,...,...,...,...,3816,.,...,.,...,.,4056,2561,...,...,...,...,...,.,.,...,...,.,...,...,...,.,.,.,.,...,4006,...,...,...,...,...,...,...,...
"2013Q3","Kerrostalo yksiöt",6800,6817,...,7185,6337,...,6411,6553,.,5416,5643,.,...,6038,...,6207,...,.,...,...,4975,5561,.,...,.,...,...,...,...,.,3693,.,...,5359,5234,4625,5453,.,4655,...,...,...,.,...,4484,.,4044,...,.,.,.,...,.,3659,...,...,...,...,...,.,.,...,...,...,...,...,.,...,.,.,.,.,...,3717,...,.,...,.,...,...,...,...
"2013Q4","Kerrostalo yksiöt",6137,6041,...,7616,6670,...,6180,6448,.,5517,6034,.,...,6143,6179,6117,...,.,...,...,4781,...,...,...,.,...,...,...,4913,...,3457,.,...,5475,5013,4883,5498,.,4994,...,...,.,.,...,...,.,...,...,.,.,.,.,.,...,2959,3845,...,...,...,.,...,...,...,...,...,...,.,4326,.,.,.,.,...,3645,...,...,3265,.,3776,.,...,4899
"2014Q1","Kerrostalo yksiöt",6500,6592,.,6826,6650,...,6824,6110,.,5721,...,.,...,6222,6190,6256,...,.,...,...,5196,5538,.,...,...,...,...,4110,5241,...,4004,.,4387,5393,5284,4754,5428,.,5183,...,...,.,.,.,4659,...,...,...,...,.,.,.,.,3716,...,...,...,.,.,...,.,...,...,.,...,...,...,...,.,.,.,.,...,3951,...,...,...,...,4264,...,...,...
"2014Q2","Kerrostalo yksiöt",6524,6372,...,6709,6965,.,6546,6693,.,5638,...,.,...,5774,6407,5873,...,.,.,...,5080,5184,...,...,...,...,...,...,...,...,3701,.,...,5366,5218,5051,5574,.,5281,4808,5113,...,.,...,...,...,...,...,.,.,.,.,.,3982,...,4245,...,3483,.,.,...,.,...,4725,...,...,.,...,.,...,.,.,...,3825,.,...,3747,...,...,...,...,...
"2014Q3","Kerrostalo yksiöt",6828,6349,...,7038,7076,...,7010,7035,.,5446,...,.,...,5798,6987,5832,...,.,...,...,5013,5462,.,...,...,...,...,...,4824,...,...,.,4455,5434,5265,5415,5425,.,4815,4714,...,.,.,...,...,...,...,...,...,.,.,.,.,3815,...,...,...,...,...,...,...,...,...,...,...,...,...,...,.,.,.,.,...,4050,...,...,3236,...,...,...,...,...
"2014Q4","Kerrostalo yksiöt",6290,5646,.,6876,6699,...,6388,6583,.,5436,5335,.,...,5814,6420,6018,...,.,...,...,4832,...,.,...,...,...,...,...,4429,...,3704,.,4592,5132,5028,...,5462,.,4846,4149,...,...,.,...,5222,...,...,4258,.,...,.,.,.,3971,3283,...,...,...,...,.,...,.,...,...,...,4172,.,4264,.,.,.,.,...,3834,...,...,...,...,...,3548,...,...
